,P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa
204,21151,0.14,73.87,266536,1.78,918.78,17.63,98881,83
52,109623,0.73,379.05,506329,3.38,1754.9,18.3,98888,78
545,0,0.0,0.62,134384,0.9,464.23,27.65,98775,29
68,0,0.0,0.62,188987,1.26,651.94,18.14,98903,79
1181,0,0.0,0.62,66767,0.45,231.42,25.34,98439,39
1606,0,0.0,0.62,11697,0.08,41.15,22.69,98279,42
183,0,0.0,0.62,362480,2.42,1250.55,18.12,98898,81
137,74266,0.5,257.28,495910,3.31,1717.99,18.43,98926,79
899,40125,0.27,139.47,110583,0.74,382.35,24.24,98957,38
796,96463,0.64,333.75,156456,1.04,540.11,26.13,98826,33
132,10790,0.07,38.01,217710,1.45,750.71,18.2,98924,80
80,24271,0.16,84.66,225283,1.5,776.76,18.39,98914,79
1541,0,0.0,0.62,0,0.0,0.62,23.13,98304,40
1599,0,0.0,0.62,0,0.0,0.62,22.68,98279,42
541,216087,1.44,745.12,258442,1.72,890.9,27.58,98770,30
1654,0,0.0,0.62,0,0.0,0.62,22.59,98236,42
983,176514,1.18,609.07,223008,1.49,768.93,33.75,98442,21
165,0,0.0,0.62,159961,1.07,552.16,18.08,98910,80
248,0,0.0,0.62,266708,1.78,919.38,17.2,98905,85
446,0,0.0,0.62,47117,0.31,163.62,27.49,98885,42
1193,0,0.0,0.62,80842,0.54,279.94,25.26,98429,40
858,0,0.0,0.62,108311,0.72,374.53,24.66,98932,37
1824,0,0.0,0.62,0,0.0,0.62,21.97,98155,46
97,45958,0.31,159.62,404855,2.7,1398.06,18.82,98918,77
805,40339,0.27,140.21,179043,1.19,617.76,25.96,98837,34
737,0,0.0,0.62,40387,0.27,140.37,27.47,98788,30
1303,100125,0.67,346.35,299591,2.0,1032.81,24.43,98409,43
102,229689,1.53,791.91,599779,4.0,2089.42,18.9,98916,77
434,0,0.0,0.62,4623,0.03,16.64,27.05,98888,41
74,96337,0.64,333.31,492492,3.28,1705.89,18.37,98913,79
1860,0,0.0,0.62,25806,0.17,89.97,21.56,98144,46
1247,0,0.0,0.62,0,0.0,0.62,24.97,98427,42
918,0,0.0,0.62,0,0.0,0.62,23.15,98952,39
1776,0,0.0,0.62,0,0.0,0.62,22.07,98174,45
1995,0,0.0,0.62,0,0.0,0.62,20.91,98138,49
1680,0,0.0,0.62,0,0.0,0.62,22.38,98201,43
762,0,0.0,0.62,4113,0.03,14.88,26.49,98804,33
989,0,0.0,0.62,113507,0.76,392.41,33.35,98439,21
388,85717,0.57,296.74,518812,3.46,1799.22,17.24,98928,82
235,146267,0.98,505.09,345623,2.3,1192.06,17.34,98905,85
1565,0,0.0,0.62,0,0.0,0.62,22.97,98294,41
267,0,0.0,0.62,224823,1.5,775.17,17.16,98904,84
1232,0,0.0,0.62,0,0.0,0.62,25.02,98435,42
117,38394,0.26,133.49,162788,1.09,561.88,18.19,98911,79
1666,0,0.0,0.62,64481,0.43,223.54,22.38,98220,43
673,38919,0.26,135.3,100627,0.67,348.08,28.85,98782,28
249,0,0.0,0.62,331698,2.21,1143.82,17.21,98908,85
1509,0,0.0,0.62,80152,0.53,277.56,23.18,98327,40
2059,0,0.0,0.62,7320,0.05,25.99,20.69,98125,52
94,215719,1.44,743.86,438206,2.92,1514.73,18.68,98916,78
33,120891,0.81,417.82,382564,2.55,1320.37,18.77,98861,75
1521,187994,1.25,648.53,335015,2.23,1155.3,23.21,98320,40
1731,29108,0.19,101.39,448439,2.99,1550.64,22.38,98180,44
448,0,0.0,0.62,0,0.0,0.62,27.55,98886,40
716,0,0.0,0.62,52020,0.35,180.54,29.28,98790,29
1488,0,0.0,0.62,119791,0.8,414.03,23.35,98345,41
1576,0,0.0,0.62,0,0.0,0.62,22.91,98282,42
0,2556,0.02,9.48,151843,1.01,524.26,20.53,98866,67
1427,0,0.0,0.62,103798,0.69,359.0,23.45,98348,43
1101,0,0.0,0.62,13744,0.09,48.23,26.48,98448,35
1108,168957,1.13,583.09,262475,1.75,904.79,26.51,98448,36
1272,0,0.0,0.62,140426,0.94,485.0,24.48,98428,43
82,0,0.0,0.62,125290,0.84,432.95,18.49,98910,78
1336,0,0.0,0.62,0,0.0,0.62,24.18,98397,44
676,0,0.0,0.62,24868,0.17,86.73,28.78,98782,28
1507,0,0.0,0.62,0,0.0,0.62,23.19,98327,41
1046,53464,0.36,185.53,369547,2.46,1275.1,32.52,98422,23
770,0,0.0,0.62,0,0.0,0.62,26.39,98812,33
1261,113349,0.76,391.87,242107,1.61,834.65,24.77,98430,42
1328,0,0.0,0.62,51722,0.34,179.52,24.38,98404,43
1639,99704,0.66,344.9,149315,1.0,515.56,22.7,98246,42
1547,83734,0.56,289.91,235175,1.57,810.79,23.3,98302,40
404,254630,1.7,877.77,797609,5.32,2823.6,17.22,98943,83
1793,0,0.0,0.62,0,0.0,0.62,21.78,98164,46
1347,0,0.0,0.62,7442,0.05,26.41,24.08,98384,44
1389,57508,0.38,199.48,138383,0.92,477.98,23.77,98368,45
104,90611,0.6,313.59,504539,3.36,1748.56,18.86,98918,76
688,100620,0.67,348.06,139755,0.93,482.7,29.05,98789,26
1848,6094,0.04,21.74,138793,0.93,479.39,21.53,98145,46
826,0,0.0,0.62,0,0.0,0.62,25.64,98866,35
1240,0,0.0,0.62,68145,0.45,236.17,24.92,98430,42
62,0,0.0,0.62,194689,1.3,671.55,18.11,98885,79
852,0,0.0,0.62,0,0.0,0.62,24.8,98928,36
1403,0,0.0,0.62,93359,0.62,323.06,23.76,98362,44
223,0,0.0,0.62,155731,1.04,537.62,17.86,98888,82
145,0,0.0,0.62,112106,0.75,387.59,18.43,98923,79
1088,0,0.0,0.62,306127,2.04,1055.38,26.58,98435,35
373,0,0.0,0.62,29429,0.2,102.5,17.26,98931,83
1476,0,0.0,0.62,5566,0.04,19.91,23.51,98336,41
1142,0,0.0,0.62,0,0.0,0.62,25.75,98426,38
1898,4042,0.03,14.63,163526,1.09,564.42,21.33,98146,46
1553,0,0.0,0.62,0,0.0,0.62,23.24,98299,40
1791,21561,0.14,75.29,118010,0.79,407.9,21.85,98163,46
1318,0,0.0,0.62,10089,0.07,35.58,24.32,98410,43
9,0,0.0,0.62,16822,0.11,58.89,19.66,98867,71
449,0,0.0,0.62,0,0.0,0.62,27.55,98885,40
708,0,0.0,0.62,13322,0.09,46.77,29.28,98788,27
255,0,0.0,0.62,322500,2.15,1111.99,17.21,98907,85
882,0,0.0,0.62,0,0.0,0.62,24.36,98945,38
389,0,0.0,0.62,105788,0.71,365.85,17.22,98924,82
908,13615,0.09,47.79,139262,0.93,481.0,24.2,98955,38
924,0,0.0,0.62,144120,0.96,497.7,22.41,98942,39
1834,0,0.0,0.62,0,0.0,0.62,21.7,98147,46
1278,0,0.0,0.62,60152,0.4,208.61,24.36,98419,43
460,0,0.0,0.62,2648,0.02,9.8,27.9,98877,40
1317,67438,0.45,233.74,150153,1.0,518.45,24.39,98410,43
1765,0,0.0,0.62,0,0.0,0.62,22.08,98171,45
1168,159580,1.06,550.85,383086,2.55,1322.19,25.41,98433,39
958,0,0.0,0.62,0,0.0,0.62,33.22,98457,21
501,0,0.0,0.62,0,0.0,0.62,27.53,98792,35
739,140165,0.93,484.1,186463,1.24,643.27,27.37,98788,30
1923,68890,0.46,238.74,140071,0.93,483.78,21.3,98149,47
868,0,0.0,0.62,92440,0.62,319.89,24.51,98946,38
731,0,0.0,0.62,33180,0.22,115.47,28.52,98788,29
539,0,0.0,0.62,4749,0.03,17.08,27.58,98781,30
1201,0,0.0,0.62,0,0.0,0.62,25.03,98424,41
697,0,0.0,0.62,0,0.0,0.62,29.23,98786,27
1446,0,0.0,0.62,117539,0.78,406.28,23.59,98347,42
1429,0,0.0,0.62,61693,0.41,213.92,23.46,98342,43
1145,0,0.0,0.62,0,0.0,0.62,25.59,98426,38
1031,192776,1.29,664.97,320143,2.13,1103.83,32.47,98422,22
372,0,0.0,0.62,2223,0.01,8.33,17.27,98930,83
667,0,0.0,0.62,0,0.0,0.62,28.73,98779,29
2039,0,0.0,0.62,4954,0.03,17.79,20.8,98134,51
357,0,0.0,0.62,58614,0.39,203.3,17.23,98919,83
967,0,0.0,0.62,24529,0.16,85.56,32.71,98451,21
783,0,0.0,0.62,0,0.0,0.62,26.2,98822,34
735,0,0.0,0.62,117285,0.78,405.41,27.59,98786,30
1035,0,0.0,0.62,170311,1.14,587.74,32.77,98421,22
970,148245,0.99,511.89,244812,1.63,843.96,32.92,98453,22
1583,70593,0.47,244.62,174980,1.17,603.79,22.89,98275,42
1545,0,0.0,0.62,88171,0.59,305.19,23.22,98298,40
1833,0,0.0,0.62,0,0.0,0.62,21.77,98150,46
1582,0,0.0,0.62,30971,0.21,107.83,22.84,98273,42
1839,0,0.0,0.62,0,0.0,0.62,21.66,98150,46
1549,0,0.0,0.62,46836,0.31,162.65,23.33,98299,40
1702,0,0.0,0.62,42504,0.28,147.69,22.41,98188,43
1252,0,0.0,0.62,281425,1.88,970.12,24.74,98433,42
1758,293120,1.95,1010.47,397774,2.65,1373.36,22.18,98174,44
1780,0,0.0,0.62,62028,0.41,215.08,22.0,98165,45
1236,2324,0.02,8.68,235450,1.57,811.74,25.02,98436,42
885,0,0.0,0.62,0,0.0,0.62,24.38,98945,38
79,0,0.0,0.62,88335,0.59,305.75,18.36,98913,79
1172,0,0.0,0.62,0,0.0,0.62,25.48,98428,39
814,0,0.0,0.62,0,0.0,0.62,25.78,98853,34
1333,0,0.0,0.62,114070,0.76,394.35,24.13,98395,44
671,107777,0.72,372.69,215181,1.43,742.01,28.75,98779,28
2024,0,0.0,0.62,69482,0.46,240.78,20.87,98124,50
57,0,0.0,0.62,41123,0.27,142.92,18.19,98889,79
133,140073,0.93,483.79,248997,1.66,858.37,18.25,98923,80
1140,0,0.0,0.62,240206,1.6,828.11,25.72,98434,38
933,0,0.0,0.62,113789,0.76,393.38,31.92,98506,21
1961,0,0.0,0.62,19867,0.13,69.43,20.79,98143,48
823,74979,0.5,259.74,141239,0.94,487.8,25.67,98860,34
1214,28356,0.19,98.79,57713,0.38,200.19,24.87,98432,42
504,0,0.0,0.62,58074,0.39,201.44,27.48,98793,35
2018,0,0.0,0.62,0,0.0,0.62,20.87,98129,49
347,0,0.0,0.62,59364,0.4,205.89,17.21,98918,84
386,0,0.0,0.62,112750,0.75,389.81,17.25,98924,83
1024,118359,0.79,409.11,304504,2.03,1049.78,32.14,98423,23
894,0,0.0,0.62,33670,0.22,117.16,24.3,98953,38
828,0,0.0,0.62,0,0.0,0.62,25.63,98874,35
1968,0,0.0,0.62,0,0.0,0.62,20.85,98137,49
475,0,0.0,0.62,86176,0.57,298.32,27.48,98801,38
2021,0,0.0,0.62,0,0.0,0.62,20.9,98129,50
1503,0,0.0,0.62,0,0.0,0.62,23.19,98330,41
1461,0,0.0,0.62,129772,0.87,448.36,23.61,98341,42
652,0,0.0,0.62,0,0.0,0.62,28.93,98777,28
172,154793,1.03,534.4,294196,1.96,1014.18,18.15,98898,80
1149,0,0.0,0.62,0,0.0,0.62,25.56,98427,38
38,0,0.0,0.62,119217,0.79,412.06,18.5,98869,76
713,0,0.0,0.62,3997,0.03,14.47,29.26,98792,29
90,50794,0.34,176.31,446765,2.98,1544.76,18.46,98912,79
2014,0,0.0,0.62,0,0.0,0.62,20.83,98125,49
1205,0,0.0,0.62,0,0.0,0.62,24.95,98428,41
875,0,0.0,0.62,83045,0.55,287.53,24.42,98946,38
1401,135320,0.9,467.44,180116,1.2,621.45,23.78,98362,45
1965,0,0.0,0.62,178220,1.19,614.93,20.82,98145,49
1093,0,0.0,0.62,0,0.0,0.62,26.44,98436,35
1155,68319,0.46,236.77,232539,1.55,801.72,25.52,98429,39
1324,44966,0.3,156.19,98674,0.66,341.36,24.34,98406,43
1414,0,0.0,0.62,111304,0.74,384.83,23.56,98357,43
2036,0,0.0,0.62,0,0.0,0.62,20.77,98134,51
499,0,0.0,0.62,7807,0.05,27.67,27.56,98800,35
338,0,0.0,0.62,240979,1.61,830.77,17.25,98916,84
1188,0,0.0,0.62,0,0.0,0.62,25.21,98436,40
28,62874,0.42,218.0,241889,1.61,833.9,18.98,98863,74
1217,39400,0.26,136.96,160232,1.07,553.1,24.91,98433,42
1374,0,0.0,0.62,106540,0.71,368.44,23.85,98365,44
1892,0,0.0,0.62,122355,0.82,422.85,21.3,98144,46
945,0,0.0,0.62,0,0.0,0.62,31.81,98499,21
169,92168,0.61,318.96,355813,2.37,1227.41,18.15,98907,80
2019,0,0.0,0.62,113284,0.76,391.64,20.89,98127,49
1197,0,0.0,0.62,131378,0.88,453.89,25.21,98424,40
1253,0,0.0,0.62,0,0.0,0.62,24.81,98435,42
1452,0,0.0,0.62,0,0.0,0.62,23.69,98350,42
912,0,0.0,0.62,98623,0.66,341.18,24.19,98952,38
491,374053,2.49,1290.76,425672,2.84,1470.82,27.58,98793,35
953,0,0.0,0.62,0,0.0,0.62,32.73,98449,21
1097,0,0.0,0.62,151315,1.01,522.44,26.5,98446,35
1032,0,0.0,0.62,120005,0.8,414.77,32.56,98425,22
587,0,0.0,0.62,0,0.0,0.62,28.8,98774,26
750,0,0.0,0.62,0,0.0,0.62,26.92,98800,32
657,0,0.0,0.62,109459,0.73,378.48,28.97,98782,28
234,25377,0.17,88.49,256977,1.71,885.85,17.38,98907,85
732,0,0.0,0.62,0,0.0,0.62,28.54,98786,29
2056,0,0.0,0.62,174422,1.16,601.87,20.73,98118,52
1692,0,0.0,0.62,38507,0.26,133.88,22.3,98201,43
1156,0,0.0,0.62,33356,0.22,116.08,25.53,98430,39
1684,0,0.0,0.62,5672,0.04,20.28,22.39,98203,43
1480,0,0.0,0.62,112455,0.75,388.79,23.4,98340,41
1687,81320,0.54,281.59,135848,0.91,469.26,22.33,98201,43
934,0,0.0,0.62,268782,1.79,926.53,31.91,98507,21
1209,0,0.0,0.62,88368,0.59,305.87,24.98,98427,41
1065,0,0.0,0.62,6738,0.04,23.97,26.43,98428,34
108,0,0.0,0.62,236903,1.58,816.74,18.63,98922,77
1601,0,0.0,0.62,0,0.0,0.62,22.68,98279,42
568,0,0.0,0.62,137033,0.91,473.34,28.16,98778,27
1167,0,0.0,0.62,42623,0.28,148.1,25.42,98428,39
1174,0,0.0,0.62,0,0.0,0.62,25.52,98433,39
890,0,0.0,0.62,116843,0.78,403.89,24.34,98949,38
947,0,0.0,0.62,11463,0.08,40.34,31.78,98503,21
1048,110066,0.73,380.57,158352,1.06,546.63,32.79,98425,22
1402,0,0.0,0.62,13540,0.09,47.53,23.78,98365,45
1423,0,0.0,0.62,139529,0.93,481.92,23.52,98354,43
1502,0,0.0,0.62,0,0.0,0.62,23.26,98332,41
884,0,0.0,0.62,6516,0.04,23.2,24.39,98944,38
1736,0,0.0,0.62,65626,0.44,227.49,22.48,98181,44
2001,0,0.0,0.62,103699,0.69,358.66,20.97,98129,49
850,0,0.0,0.62,72758,0.49,252.08,24.85,98929,37
734,0,0.0,0.62,58639,0.39,203.39,28.5,98788,28
717,0,0.0,0.62,13853,0.09,48.61,29.17,98789,28
454,0,0.0,0.62,279854,1.87,964.7,27.57,98881,37
264,44594,0.3,154.91,295145,1.97,1017.46,17.17,98902,84
75,107222,0.71,370.78,557552,3.72,1937.46,18.41,98909,78
1720,0,0.0,0.62,34425,0.23,119.77,22.49,98191,43
444,0,0.0,0.62,0,0.0,0.62,27.58,98889,42
395,0,0.0,0.62,239950,1.6,827.23,17.22,98927,83
176,0,0.0,0.62,303770,2.03,1047.24,18.1,98894,81
1042,0,0.0,0.62,91865,0.61,317.91,32.33,98420,22
1802,0,0.0,0.62,0,0.0,0.62,21.85,98158,46
1455,0,0.0,0.62,116228,0.77,401.77,23.71,98353,41
1569,0,0.0,0.62,0,0.0,0.62,22.92,98284,41
1433,0,0.0,0.62,72079,0.48,249.74,23.45,98343,43
595,0,0.0,0.62,7427,0.05,26.36,29.1,98773,27
61,57480,0.38,199.39,224109,1.49,772.72,18.12,98886,79
1296,0,0.0,0.62,8965,0.06,31.69,24.12,98418,44
872,0,0.0,0.62,0,0.0,0.62,24.45,98944,37
1548,24608,0.16,85.83,174322,1.16,601.53,23.32,98305,40
1953,0,0.0,0.62,49700,0.33,172.54,21.0,98155,48
278,264546,1.76,911.93,837791,5.59,2978.08,17.17,98912,84
1392,0,0.0,0.62,110289,0.74,381.34,23.72,98366,45
36,0,0.0,0.62,22832,0.15,79.69,18.64,98865,75
1574,0,0.0,0.62,0,0.0,0.62,22.88,98281,41
662,44655,0.3,155.12,85887,0.57,297.32,28.85,98785,28
1877,0,0.0,0.62,0,0.0,0.62,21.28,98141,46
1600,0,0.0,0.62,0,0.0,0.62,22.69,98277,42
977,0,0.0,0.62,67911,0.45,235.37,33.44,98440,21
1630,14103,0.09,49.48,115733,0.77,400.07,22.66,98264,42
738,0,0.0,0.62,0,0.0,0.62,27.41,98788,30
191,151830,1.01,524.21,435096,2.9,1503.83,17.94,98900,81
919,0,0.0,0.62,0,0.0,0.62,22.51,98938,39
456,0,0.0,0.62,0,0.0,0.62,27.73,98881,39
1417,5866,0.04,20.95,169490,1.13,584.92,23.58,98357,43
675,0,0.0,0.62,0,0.0,0.62,28.83,98777,29
760,0,0.0,0.62,12886,0.09,45.26,26.54,98808,32
1878,0,0.0,0.62,114012,0.76,394.15,21.29,98143,46
1662,0,0.0,0.62,30464,0.2,106.08,22.42,98219,43
728,73173,0.49,253.51,109843,0.73,379.8,28.53,98785,29
1399,107447,0.72,371.56,426441,2.84,1473.51,23.79,98365,45
412,0,0.0,0.62,29300,0.2,102.06,26.43,98908,45
1098,0,0.0,0.62,66752,0.45,231.37,26.46,98444,35
825,0,0.0,0.62,70646,0.47,244.8,25.67,98862,35
1555,0,0.0,0.62,0,0.0,0.62,23.12,98298,40
616,0,0.0,0.62,0,0.0,0.62,29.86,98779,27
114,53053,0.35,184.11,288178,1.92,993.41,18.33,98915,79
417,0,0.0,0.62,175762,1.17,606.48,26.79,98902,46
1986,0,0.0,0.62,116816,0.78,403.8,20.88,98136,49
969,8484,0.06,30.02,247312,1.65,852.57,32.84,98453,21
604,133416,0.89,460.9,192759,1.29,664.91,29.71,98773,25
1996,0,0.0,0.62,0,0.0,0.62,20.91,98132,49
89,0,0.0,0.62,28572,0.19,99.54,18.43,98920,79
848,0,0.0,0.62,55226,0.37,191.61,24.85,98927,37
1578,0,0.0,0.62,0,0.0,0.62,22.92,98279,42
1994,0,0.0,0.62,0,0.0,0.62,20.88,98135,49
753,0,0.0,0.62,0,0.0,0.62,26.79,98798,32
498,0,0.0,0.62,88014,0.59,304.65,27.58,98803,35
1276,0,0.0,0.62,144680,0.96,499.63,24.38,98424,43
1325,0,0.0,0.62,206993,1.38,713.85,24.33,98408,43
11,112456,0.75,388.8,299310,2.0,1031.84,19.53,98869,71
396,0,0.0,0.62,0,0.0,0.62,17.21,98926,82
284,0,0.0,0.62,259183,1.73,893.45,17.13,98911,84
1066,0,0.0,0.62,135830,0.91,469.2,26.43,98428,34
1191,0,0.0,0.62,47354,0.32,164.44,25.18,98433,40
1440,0,0.0,0.62,3810,0.03,13.83,23.52,98340,42
1811,0,0.0,0.62,61546,0.41,213.42,21.96,98158,46
1450,0,0.0,0.62,137351,0.92,474.43,23.63,98342,42
690,0,0.0,0.62,45134,0.3,156.77,28.98,98784,26
1691,50135,0.33,174.04,187714,1.25,647.57,22.33,98202,43
1950,212145,1.41,731.57,261737,1.74,902.25,21.04,98152,48
689,0,0.0,0.62,0,0.0,0.62,29.04,98781,26
851,0,0.0,0.62,9690,0.06,34.2,24.81,98928,37
159,39503,0.26,137.32,302578,2.02,1043.12,18.16,98920,80
895,0,0.0,0.62,0,0.0,0.62,24.3,98952,38
1738,0,0.0,0.62,0,0.0,0.62,22.48,98177,44
257,0,0.0,0.62,0,0.0,0.62,17.2,98905,85
335,2147,0.01,8.06,580163,3.87,2018.65,17.24,98917,84
1991,0,0.0,0.62,97385,0.65,336.92,20.86,98137,49
1039,0,0.0,0.62,207952,1.39,717.15,32.8,98421,22
515,0,0.0,0.62,70244,0.47,243.41,27.54,98783,32
1348,0,0.0,0.62,8342,0.06,29.53,24.15,98380,44
1015,50571,0.34,175.54,140761,0.94,486.15,32.58,98432,23
768,0,0.0,0.62,0,0.0,0.62,26.43,98810,33
1813,0,0.0,0.62,0,0.0,0.62,21.86,98154,46
761,0,0.0,0.62,0,0.0,0.62,26.51,98806,33
1246,67408,0.45,233.63,121894,0.81,421.27,25.04,98423,42
1203,0,0.0,0.62,84055,0.56,291.01,25.03,98426,41
1525,0,0.0,0.62,231640,1.54,798.63,23.24,98318,40
1123,95203,0.63,329.41,393446,2.62,1358.27,26.31,98451,36
521,313120,2.09,1079.55,475854,3.17,1647.12,27.71,98776,31
22,0,0.0,0.62,117627,0.78,406.59,18.73,98858,75
