,P1_lpo_loRa,P1_ratio_loRa,P1_conc_loRa,P2_lpo_loRa,P2_ratio_loRa,P2_conc_loRa,Temperature_loRa,Pressure_loRa,Humidity_loRa
79,0,0.0,0.62,88335,0.59,305.75,18.36,98913,79
3,0,0.0,0.62,30289,0.2,105.48,20.27,98868,68
266,98768,0.66,341.68,426191,2.84,1472.64,17.19,98907,84
688,100620,0.67,348.06,139755,0.93,482.7,29.05,98789,26
261,0,0.0,0.62,138697,0.92,479.06,17.18,98906,85
1886,0,0.0,0.62,126342,0.84,436.57,21.27,98143,46
1878,0,0.0,0.62,114012,0.76,394.15,21.29,98143,46
725,181925,1.21,627.67,363631,2.42,1254.55,28.59,98790,29
1220,18280,0.12,63.94,162277,1.08,560.13,24.88,98437,42
58,48299,0.32,167.7,549792,3.67,1909.68,18.17,98888,79
685,39473,0.26,137.22,113666,0.76,392.96,28.97,98783,27
428,0,0.0,0.62,1632293,10.88,6626.72,26.79,98900,42
805,40339,0.27,140.21,179043,1.19,617.76,25.96,98837,34
403,10724,0.07,37.78,197486,1.32,681.16,17.21,98941,82
2060,0,0.0,0.62,0,0.0,0.62,20.7,98123,52
1295,0,0.0,0.62,0,0.0,0.62,24.15,98417,43
414,0,0.0,0.62,0,0.0,0.62,26.54,98894,45
1627,109070,0.73,377.14,178052,1.19,614.35,22.6,98269,43
907,0,0.0,0.62,0,0.0,0.62,24.26,98954,39
853,0,0.0,0.62,21410,0.14,74.77,24.77,98927,37
63,26428,0.18,92.13,189594,1.26,654.03,18.1,98894,79
1498,58786,0.39,203.89,345669,2.3,1192.22,23.31,98341,41
1194,0,0.0,0.62,0,0.0,0.62,25.23,98429,40
323,0,0.0,0.62,0,0.0,0.62,17.22,98900,84
1897,76837,0.51,266.14,118714,0.79,410.33,21.29,98147,46
1585,0,0.0,0.62,19627,0.13,68.6,22.82,98275,42
937,0,0.0,0.62,57553,0.38,199.64,31.8,98505,21
89,0,0.0,0.62,28572,0.19,99.54,18.43,98920,79
809,0,0.0,0.62,0,0.0,0.62,25.88,98844,34
767,161862,1.08,558.7,226293,1.51,780.23,26.43,98809,33
1484,0,0.0,0.62,0,0.0,0.62,23.44,98343,41
1487,0,0.0,0.62,0,0.0,0.62,23.4,98339,41
1814,0,0.0,0.62,57804,0.39,200.51,21.88,98149,46
193,0,0.0,0.62,141508,0.94,488.72,17.88,98890,82
77,0,0.0,0.62,24787,0.17,86.45,18.3,98913,79
1989,12907,0.09,45.34,137309,0.92,474.28,20.9,98130,49
850,0,0.0,0.62,72758,0.49,252.08,24.85,98929,37
1282,38077,0.25,132.39,135224,0.9,467.11,24.3,98420,43
1493,0,0.0,0.62,10605,0.07,37.37,23.16,98337,41
1728,261665,1.74,902.0,621904,4.15,2169.63,22.45,98186,44
1073,0,0.0,0.62,0,0.0,0.62,26.3,98434,35
1390,0,0.0,0.62,2335,0.02,8.71,23.76,98368,45
1291,0,0.0,0.62,0,0.0,0.62,24.16,98417,43
1298,0,0.0,0.62,57739,0.38,200.28,24.18,98413,44
700,0,0.0,0.62,0,0.0,0.62,29.23,98787,27
1481,272372,1.82,938.9,656757,4.38,2296.86,23.42,98344,41
1275,0,0.0,0.62,17324,0.12,60.63,24.42,98428,43
2038,0,0.0,0.62,34883,0.23,121.36,20.76,98128,51
379,86402,0.58,299.1,431800,2.88,1492.28,17.26,98932,83
2030,0,0.0,0.62,0,0.0,0.62,20.82,98124,50
0,2556,0.02,9.48,151843,1.01,524.26,20.53,98866,67
557,52517,0.35,182.26,160922,1.07,555.47,27.86,98771,29
958,0,0.0,0.62,0,0.0,0.62,33.22,98457,21
799,0,0.0,0.62,0,0.0,0.62,26.15,98827,34
774,0,0.0,0.62,23386,0.16,81.6,26.34,98815,33
845,0,0.0,0.62,0,0.0,0.62,24.92,98926,37
698,0,0.0,0.62,159063,1.06,549.08,29.19,98783,27
16,0,0.0,0.62,79050,0.53,273.77,19.16,98867,73
364,68651,0.46,237.92,200219,1.33,690.56,17.27,98929,83
1223,0,0.0,0.62,196149,1.31,676.57,24.91,98434,42
1172,0,0.0,0.62,0,0.0,0.62,25.48,98428,39
581,0,0.0,0.62,0,0.0,0.62,28.55,98770,26
12,0,0.0,0.62,130212,0.87,449.88,19.48,98866,72
745,85054,0.57,294.45,159275,1.06,549.81,27.15,98796,31
473,0,0.0,0.62,0,0.0,0.62,27.46,98800,38
1054,0,0.0,0.62,96723,0.64,334.64,26.75,98424,33
1040,0,0.0,0.62,0,0.0,0.62,32.59,98423,22
1345,0,0.0,0.62,205567,1.37,708.95,24.22,98382,44
427,19961,0.13,69.75,1334476,8.9,5100.59,26.81,98899,41
552,0,0.0,0.62,0,0.0,0.62,27.88,98784,29
1212,0,0.0,0.62,127872,0.85,441.83,24.94,98429,41
275,0,0.0,0.62,251158,1.67,865.81,17.2,98909,84
1088,0,0.0,0.62,306127,2.04,1055.38,26.58,98435,35
1631,0,0.0,0.62,62310,0.42,216.05,22.58,98264,42
1464,0,0.0,0.62,7093,0.05,25.2,23.65,98342,41
926,0,0.0,0.62,130163,0.87,449.71,32.08,98515,21
1152,0,0.0,0.62,53391,0.36,185.28,25.65,98428,39
829,0,0.0,0.62,0,0.0,0.62,25.17,98919,36
462,0,0.0,0.62,137933,0.92,476.43,27.69,98870,39
630,0,0.0,0.62,33515,0.22,116.63,29.4,98777,27
349,0,0.0,0.62,91140,0.61,315.42,17.2,98912,84
534,45836,0.31,159.19,152109,1.01,525.17,27.65,98788,32
2054,70759,0.47,245.19,151717,1.01,523.82,20.74,98124,52
1126,147923,0.99,510.78,294979,1.97,1016.88,26.11,98449,37
1860,0,0.0,0.62,25806,0.17,89.97,21.56,98144,46
1992,0,0.0,0.62,0,0.0,0.62,20.82,98137,49
1718,0,0.0,0.62,85516,0.57,296.04,22.51,98188,43
876,0,0.0,0.62,1597,0.01,6.16,24.43,98945,38
1451,119828,0.8,414.16,160100,1.07,552.64,23.65,98350,42
1963,0,0.0,0.62,6861,0.05,24.4,20.8,98145,49
1684,0,0.0,0.62,5672,0.04,20.28,22.39,98203,43
434,0,0.0,0.62,4623,0.03,16.64,27.05,98888,41
62,0,0.0,0.62,194689,1.3,671.55,18.11,98885,79
518,0,0.0,0.62,0,0.0,0.62,27.66,98776,33
178,197165,1.31,680.06,698595,4.66,2451.11,18.03,98896,81
1433,0,0.0,0.62,72079,0.48,249.74,23.45,98343,43
1296,0,0.0,0.62,8965,0.06,31.69,24.12,98418,44
956,0,0.0,0.62,110077,0.73,380.61,32.98,98456,21
1591,0,0.0,0.62,0,0.0,0.62,22.83,98278,42
1018,0,0.0,0.62,89055,0.59,308.23,32.57,98428,23
1284,0,0.0,0.62,0,0.0,0.62,24.26,98422,43
619,0,0.0,0.62,55700,0.37,193.25,29.65,98773,27
355,9586,0.06,33.84,469910,3.13,1626.17,17.22,98922,83
644,0,0.0,0.62,0,0.0,0.62,29.14,98770,27
945,0,0.0,0.62,0,0.0,0.62,31.81,98499,21
1508,0,0.0,0.62,54826,0.37,190.23,23.26,98332,41
763,0,0.0,0.62,0,0.0,0.62,26.47,98808,33
168,158345,1.06,546.61,440445,2.94,1522.58,18.13,98904,80
1060,33816,0.23,117.67,281611,1.88,970.76,26.6,98427,34
1787,0,0.0,0.62,55097,0.37,191.16,21.89,98160,46
1029,35250,0.23,122.62,321784,2.15,1109.51,32.24,98422,23
813,0,0.0,0.62,0,0.0,0.62,25.8,98851,34
446,0,0.0,0.62,47117,0.31,163.62,27.49,98885,42
1674,0,0.0,0.62,77488,0.52,268.38,22.28,98212,43
939,0,0.0,0.62,0,0.0,0.62,31.7,98502,21
222,0,0.0,0.62,315277,2.1,1087.01,17.86,98893,82
1148,0,0.0,0.62,187075,1.25,645.37,25.49,98426,39
585,0,0.0,0.62,53654,0.36,186.18,28.8,98780,27
893,0,0.0,0.62,0,0.0,0.62,24.31,98955,38
1769,0,0.0,0.62,8386,0.06,29.68,22.0,98169,45
1124,57390,0.38,199.08,348986,2.33,1203.72,26.31,98449,36
1976,0,0.0,0.62,123759,0.83,427.68,20.72,98135,49
1523,0,0.0,0.62,150480,1.0,519.57,23.13,98316,40
1676,147963,0.99,510.92,299444,2.0,1032.3,22.28,98208,43
1535,0,0.0,0.62,0,0.0,0.62,23.28,98312,40
1354,58294,0.39,202.2,108469,0.72,375.07,24.06,98374,44
1241,221452,1.48,763.58,340612,2.27,1174.69,24.92,98428,42
843,0,0.0,0.62,93176,0.62,322.43,24.96,98926,37
480,0,0.0,0.62,126238,0.84,436.21,27.6,98794,36
1090,113081,0.75,390.95,310371,2.07,1070.05,26.57,98438,35
808,0,0.0,0.62,0,0.0,0.62,25.9,98847,34
1109,0,0.0,0.62,23691,0.16,82.66,26.35,98444,36
820,0,0.0,0.62,5896,0.04,21.05,25.73,98858,34
1035,0,0.0,0.62,170311,1.14,587.74,32.77,98421,22
543,0,0.0,0.62,0,0.0,0.62,27.63,98772,30
1648,0,0.0,0.62,89029,0.59,308.15,22.75,98244,42
1072,0,0.0,0.62,0,0.0,0.62,26.25,98435,35
1186,61149,0.41,212.05,202507,1.35,698.42,25.24,98435,40
231,23798,0.16,83.03,410752,2.74,1418.65,17.48,98900,84
322,0,0.0,0.62,463855,3.09,1604.84,17.22,98903,85
553,0,0.0,0.62,53409,0.36,185.34,27.86,98772,29
555,0,0.0,0.62,157665,1.05,544.27,27.85,98781,30
656,0,0.0,0.62,0,0.0,0.62,28.99,98788,29
1583,70593,0.47,244.62,174980,1.17,603.79,22.89,98275,42
1917,0,0.0,0.62,0,0.0,0.62,21.3,98149,46
1207,0,0.0,0.62,76488,0.51,264.94,24.98,98431,41
233,196410,1.31,677.46,765696,5.1,2702.33,17.41,98903,85
315,0,0.0,0.62,465732,3.1,1611.45,17.2,98907,85
919,0,0.0,0.62,0,0.0,0.62,22.51,98938,39
863,0,0.0,0.62,72105,0.48,249.83,24.6,98936,38
1831,0,0.0,0.62,32290,0.22,112.39,21.82,98151,46
105,42883,0.29,149.0,136871,0.91,472.78,18.81,98926,77
327,0,0.0,0.62,14361,0.1,50.37,17.17,98907,85
474,0,0.0,0.62,0,0.0,0.62,27.46,98804,38
1621,0,0.0,0.62,70460,0.47,244.16,22.65,98267,43
1845,0,0.0,0.62,0,0.0,0.62,21.59,98141,46
696,0,0.0,0.62,2559,0.02,9.49,29.16,98782,26
224,0,0.0,0.62,15538,0.1,54.45,17.84,98892,82
1300,0,0.0,0.62,0,0.0,0.62,24.19,98410,43
768,0,0.0,0.62,0,0.0,0.62,26.43,98810,33
564,0,0.0,0.62,0,0.0,0.62,28.02,98771,28
961,106816,0.71,369.39,164050,1.09,566.22,33.21,98449,20
1161,0,0.0,0.62,150431,1.0,519.4,25.46,98432,39
1171,0,0.0,0.62,96539,0.64,334.01,25.52,98430,39
1286,0,0.0,0.62,122790,0.82,424.35,24.14,98424,43
297,0,0.0,0.62,323090,2.15,1114.03,17.15,98908,84
25,8990,0.06,31.77,247173,1.65,852.09,18.83,98868,75
373,0,0.0,0.62,29429,0.2,102.5,17.26,98931,83
529,0,0.0,0.62,118822,0.79,410.7,27.87,98783,32
1219,0,0.0,0.62,0,0.0,0.62,24.84,98435,42
306,263373,1.76,907.89,472210,3.15,1634.27,17.2,98909,85
382,0,0.0,0.62,324094,2.16,1117.5,17.26,98921,83
131,0,0.0,0.62,0,0.0,0.62,18.15,98922,80
1599,0,0.0,0.62,0,0.0,0.62,22.68,98279,42
1544,0,0.0,0.62,46587,0.31,161.79,23.23,98303,40
1155,68319,0.46,236.77,232539,1.55,801.72,25.52,98429,39
1050,152840,1.02,527.68,277019,1.85,954.92,32.74,98422,23
1818,0,0.0,0.62,34403,0.23,119.7,21.99,98155,46
1521,187994,1.25,648.53,335015,2.23,1155.3,23.21,98320,40
1030,0,0.0,0.62,52816,0.35,183.29,32.42,98419,23
481,0,0.0,0.62,0,0.0,0.62,27.62,98792,36
990,0,0.0,0.62,180826,1.21,623.89,33.48,98441,21
331,0,0.0,0.62,18116,0.12,63.37,17.23,98913,84
882,0,0.0,0.62,0,0.0,0.62,24.36,98945,38
48,0,0.0,0.62,328911,2.19,1134.17,18.47,98889,77
189,0,0.0,0.62,393620,2.62,1358.88,18.04,98897,81
1103,0,0.0,0.62,280864,1.87,968.18,26.48,98447,35
84,41609,0.28,144.6,176286,1.18,608.28,18.61,98914,78
1883,0,0.0,0.62,0,0.0,0.62,21.29,98142,46
1997,143350,0.96,495.06,238902,1.59,823.62,20.9,98137,49
629,0,0.0,0.62,12286,0.08,43.19,29.43,98772,27
1812,0,0.0,0.62,0,0.0,0.62,21.78,98153,46
116,155549,1.04,537.0,395454,2.64,1365.27,18.26,98912,79
106,73487,0.49,254.59,372365,2.48,1284.9,18.75,98919,77
15,0,0.0,0.62,119459,0.8,412.89,19.22,98868,73
1971,0,0.0,0.62,0,0.0,0.62,20.81,98143,49
1689,0,0.0,0.62,31373,0.21,109.22,22.32,98203,43
1821,0,0.0,0.62,236335,1.58,814.78,21.94,98153,46
225,48853,0.33,169.61,378944,2.53,1307.78,17.82,98891,83
2043,162999,1.09,562.61,210652,1.4,726.43,20.75,98128,51
665,0,0.0,0.62,89053,0.59,308.23,28.73,98783,27
397,317186,2.11,1093.61,524116,3.49,1818.09,17.21,98932,82
868,0,0.0,0.62,92440,0.62,319.89,24.51,98946,38
672,0,0.0,0.62,0,0.0,0.62,28.8,98779,27
216,154895,1.03,534.75,321354,2.14,1108.02,17.77,98890,83
138,212286,1.42,732.05,459909,3.07,1590.95,18.46,98931,79
1277,256092,1.71,882.8,417278,2.78,1441.46,24.27,98422,43
2027,0,0.0,0.62,10954,0.07,38.57,20.9,98128,50
978,0,0.0,0.62,0,0.0,0.62,33.39,98443,21
1969,177503,1.18,612.47,372735,2.48,1286.18,20.8,98142,49
273,157235,1.05,542.79,374859,2.5,1293.57,17.2,98912,84
636,0,0.0,0.62,67121,0.45,232.64,29.3,98779,28
1978,0,0.0,0.62,2532,0.02,9.4,20.79,98144,49
1967,0,0.0,0.62,7534,0.05,26.73,20.82,98143,49
865,0,0.0,0.62,0,0.0,0.62,24.55,98940,37
175,0,0.0,0.62,249825,1.67,861.22,18.1,98894,80
292,92802,0.62,321.14,444342,2.96,1536.25,17.13,98909,84
249,0,0.0,0.62,331698,2.21,1143.82,17.21,98908,85
569,0,0.0,0.62,7098,0.05,25.22,28.19,98780,28
707,0,0.0,0.62,0,0.0,0.62,29.35,98785,27
896,0,0.0,0.62,88669,0.59,306.91,24.27,98958,38
1601,0,0.0,0.62,0,0.0,0.62,22.68,98279,42
358,0,0.0,0.62,167051,1.11,576.54,17.25,98915,83
766,0,0.0,0.62,0,0.0,0.62,26.46,98809,33
645,0,0.0,0.62,0,0.0,0.62,29.14,98776,27
1622,0,0.0,0.62,52407,0.35,181.88,22.65,98268,43
2009,0,0.0,0.62,58065,0.39,201.41,20.93,98132,49
968,0,0.0,0.62,229545,1.53,791.42,32.76,98450,21
1626,47317,0.32,164.31,133045,0.89,459.62,22.58,98267,43
1363,0,0.0,0.62,0,0.0,0.62,23.94,98365,44
1587,0,0.0,0.62,0,0.0,0.62,22.82,98278,42
470,0,0.0,0.62,75828,0.51,262.66,27.34,98859,40
1280,0,0.0,0.62,82161,0.55,284.49,24.35,98416,43
1975,0,0.0,0.62,133233,0.89,460.27,20.76,98143,49
606,0,0.0,0.62,84168,0.56,291.4,29.65,98774,25
1979,0,0.0,0.62,0,0.0,0.62,20.76,98133,49
1526,127252,0.85,439.7,171370,1.14,591.38,23.27,98317,40
26,0,0.0,0.62,84426,0.56,292.29,18.92,98864,74
1605,0,0.0,0.62,0,0.0,0.62,22.64,98279,42
573,166794,1.11,575.65,340468,2.27,1174.19,28.27,98777,26
1615,26279,0.18,91.61,131769,0.88,455.23,22.71,98276,42
1986,0,0.0,0.62,116816,0.78,403.8,20.88,98136,49
730,0,0.0,0.62,2139,0.01,8.03,28.49,98783,29
1855,0,0.0,0.62,9780,0.07,34.51,21.53,98148,46
1954,0,0.0,0.62,133691,0.89,461.84,21.01,98146,48
1867,0,0.0,0.62,50524,0.34,175.38,21.4,98143,46
849,0,0.0,0.62,0,0.0,0.62,24.84,98927,37
1422,0,0.0,0.62,0,0.0,0.62,23.54,98350,43
410,0,0.0,0.62,142589,0.95,492.44,26.42,98908,46
852,0,0.0,0.62,0,0.0,0.62,24.8,98928,36
716,0,0.0,0.62,52020,0.35,180.54,29.28,98790,29
676,0,0.0,0.62,24868,0.17,86.73,28.78,98782,28
1759,0,0.0,0.62,67153,0.45,232.75,22.15,98174,45
71,0,0.0,0.62,31813,0.21,110.74,18.25,98907,79
119,126668,0.84,437.69,294052,1.96,1013.68,18.05,98917,80
1796,0,0.0,0.62,85668,0.57,296.57,21.78,98165,46
554,0,0.0,0.62,0,0.0,0.62,27.84,98780,29
1876,0,0.0,0.62,5796,0.04,20.71,21.27,98143,46
17,0,0.0,0.62,322161,2.15,1110.81,19.08,98858,73
1987,0,0.0,0.62,0,0.0,0.62,20.9,98133,49
924,0,0.0,0.62,144120,0.96,497.7,22.41,98942,39
1900,0,0.0,0.62,45872,0.31,159.32,21.35,98138,46
972,0,0.0,0.62,0,0.0,0.62,33.02,98450,22
378,0,0.0,0.62,86360,0.58,298.95,17.26,98937,82
271,0,0.0,0.62,389993,2.6,1346.24,17.17,98909,84
1944,0,0.0,0.62,40714,0.27,141.5,21.05,98153,48
583,0,0.0,0.62,0,0.0,0.62,28.7,98774,26
127,0,0.0,0.62,223262,1.49,769.8,18.03,98916,80
1176,0,0.0,0.62,154419,1.03,533.11,25.53,98436,39
169,92168,0.61,318.96,355813,2.37,1227.41,18.15,98907,80
1007,0,0.0,0.62,0,0.0,0.62,32.4,98433,23
647,0,0.0,0.62,98356,0.66,340.26,29.17,98771,28
1847,0,0.0,0.62,0,0.0,0.62,21.54,98138,46
422,0,0.0,0.62,0,0.0,0.62,26.69,98902,43
1820,0,0.0,0.62,5400,0.04,19.34,21.94,98155,46
1873,0,0.0,0.62,0,0.0,0.62,21.28,98139,47
587,0,0.0,0.62,0,0.0,0.62,28.8,98774,26
627,0,0.0,0.62,55894,0.37,193.92,29.59,98779,27
104,90611,0.6,313.59,504539,3.36,1748.56,18.86,98918,76
1715,0,0.0,0.62,120636,0.8,416.94,22.46,98187,43
346,0,0.0,0.62,171943,1.15,593.35,17.22,98918,84
674,0,0.0,0.62,41442,0.28,144.02,28.86,98784,28
103,0,0.0,0.62,314031,2.09,1082.7,18.92,98917,77
1396,0,0.0,0.62,0,0.0,0.62,23.74,98366,45
1456,0,0.0,0.62,40194,0.27,139.71,23.71,98352,41
975,0,0.0,0.62,0,0.0,0.62,33.34,98445,21
1217,39400,0.26,136.96,160232,1.07,553.1,24.91,98433,42
1607,0,0.0,0.62,0,0.0,0.62,22.72,98275,42
743,0,0.0,0.62,5921,0.04,21.14,27.17,98796,31
1198,275010,1.83,947.99,404778,2.7,1397.79,25.18,98426,41
1023,0,0.0,0.62,20674,0.14,72.22,32.01,98424,23
728,73173,0.49,253.51,109843,0.73,379.8,28.53,98785,29
1804,129049,0.86,445.88,180457,1.2,622.62,21.88,98163,46
1662,0,0.0,0.62,30464,0.2,106.08,22.42,98219,43
996,36820,0.25,128.05,88465,0.59,306.2,33.08,98441,22
1123,95203,0.63,329.41,393446,2.62,1358.27,26.31,98451,36
1560,0,0.0,0.62,0,0.0,0.62,23.05,98291,41
810,0,0.0,0.62,0,0.0,0.62,25.88,98847,34
257,0,0.0,0.62,0,0.0,0.62,17.2,98905,85
997,0,0.0,0.62,72052,0.48,249.65,33.0,98436,22
1143,167528,1.12,578.18,312062,2.08,1075.89,25.75,98430,38
2025,0,0.0,0.62,0,0.0,0.62,20.87,98126,50
407,266830,1.78,919.8,694496,4.63,2435.92,26.37,98915,46
1906,0,0.0,0.62,66010,0.44,228.81,21.28,98143,46
1619,0,0.0,0.62,97721,0.65,338.08,22.64,98268,43
987,75115,0.5,260.2,146063,0.97,504.38,33.78,98443,21
1205,0,0.0,0.62,0,0.0,0.62,24.95,98428,41
1177,0,0.0,0.62,0,0.0,0.62,25.58,98437,39
1761,0,0.0,0.62,0,0.0,0.62,22.12,98171,45
1550,0,0.0,0.62,0,0.0,0.62,23.3,98302,40
1368,0,0.0,0.62,20830,0.14,72.76,23.83,98370,44
2026,315098,2.1,1086.39,508210,3.39,1761.58,20.9,98125,50
1512,0,0.0,0.62,0,0.0,0.62,23.17,98330,40
152,0,0.0,0.62,252256,1.68,869.59,18.38,98922,79
51,0,0.0,0.62,102734,0.68,355.34,18.34,98885,77
1912,0,0.0,0.62,0,0.0,0.62,21.24,98143,47
1545,0,0.0,0.62,88171,0.59,305.19,23.22,98298,40
1264,0,0.0,0.62,2688,0.02,9.94,24.87,98432,42
314,45998,0.31,159.75,423711,2.82,1463.96,17.21,98905,85
81,0,0.0,0.62,175093,1.17,604.18,18.44,98911,79
1185,130551,0.87,451.04,282803,1.89,974.87,25.34,98435,40
